Price Date,Open Price,High Price,Low Price,Close Price,Traded Value,Number Of Trades,Traded Quantity
23-03-2015,2253,2275,2225.5,2233.45,2850217856,67428,1269675
20-03-2015,2241,2268.9,2232.95,2257.45,3625697619,61559,1607724
19-03-2015,2234.6,2249,2222.75,2230.45,3845130188,72890,1722935
18-03-2015,2254.5,2262.85,2222.55,2229.5,2745099823,58126,1226391
17-03-2015,2266.65,2279.5,2217.25,2240.5,3108540000,61599,1384828
16-03-2015,2210.55,2282,2210.55,2266.65,3846441862,72855,1704658
13-03-2015,2225,2230,2192.4,2220.4,3420086790,70363,1544921
12-03-2015,2179,2226.45,2177,2218.3,3142073181,53839,1422141
11-03-2015,2194.1,2240,2169.1,2182.2,3741231837,78278,1695228
10-03-2015,2198.1,2206.95,2160.2,2198,3477001163,84918,1582479
09-03-2015,2259,2259,2179,2190.05,4394234758,88526,1996180
05-03-2015,2267.05,2298.75,2233.35,2247.6,3208455383,52033,1421229
04-03-2015,2300,2313.9,2251.9,2274.65,2500652736,54424,1093807
03-03-2015,2290,2302.95,2278.3,2297.85,2812587067,63082,1226388
02-03-2015,2303,2308.5,2278.05,2291.7,4031020876,88257,1760248
28-02-2015,2274.75,2307.9,2256.2,2296.45,1823319896,35786,799334
27-02-2015,2274.9,2280.65,2251.5,2265.75,4424491186,74540,1950269
26-02-2015,2307.5,2309,2245.4,2258.1,3660544074,80377,1611444
25-02-2015,2288.9,2334.8,2280,2317.6,3501281668,60669,1511243
24-02-2015,2279,2295.95,2257.6,2272.8,3671313825,65245,1609419
23-02-2015,2300,2309.2,2248.1,2265.6,2908460735,76169,1272622
20-02-2015,2328.5,2336,2276.9,2283.1,4005441311,70405,1742907
19-02-2015,2294,2334,2292.05,2324.7,5615938341,61974,2418406
18-02-2015,2290.55,2304.95,2258.15,2296.5,4914857083,64543,2153441
16-02-2015,2280.3,2306.9,2265.25,2278.75,3563751257,90275,1561069
13-02-2015,2299.6,2326.7,2286,2296.1,3258571860,46058,1414379
12-02-2015,2283,2321.95,2273,2311.2,3617897322,66827,1571884
11-02-2015,2280.5,2293.2,2256.25,2284.85,3304009087,58510,1449243
10-02-2015,2243,2298,2241,2278.3,4835242360,84805,2129230
09-02-2015,2200,2254,2200,2248.9,3658597287,96994,1634217
06-02-2015,2205,2247.8,2188.5,2230.5,4154533923,79072,1863432
05-02-2015,2150.8,2220,2148,2193.8,6500911821,112707,2968984
04-02-2015,2139.9,2150,2126.4,2142.85,2764378328,49317,1290004
03-02-2015,2136.85,2139.95,2102,2120.9,2788217030,64490,1316489
02-02-2015,2141.5,2152,2126.05,2136.85,4661957849,47871,2175635
30-01-2015,2161.5,2162.55,2126.95,2141.9,5808066199,99180,2708436
29-01-2015,2145,2149.9,2127.6,2145.5,8229076404,79209,3842356
28-01-2015,2150,2154.8,2130.3,2144.55,7041041024,99134,3283589
27-01-2015,2221,2221,2130.1,2136.5,7373022314,117167,3434992
23-01-2015,2200,2225,2165.1,2215.05,5204623923,78929,2371582
22-01-2015,2174.8,2203,2161.3,2196.45,5459951318,82961,2489599
21-01-2015,2131.5,2175.95,2118,2169.9,4562627715,82679,2123727
20-01-2015,2107,2133,2101.45,2124.2,3603258362,66871,1701126
19-01-2015,2120,2132.35,2094.6,2102.5,2150712821,62963,1021936
16-01-2015,2148,2160,2112,2118.3,3555858248,63848,1672740
15-01-2015,2135.2,2152.8,2112.25,2134.25,4457910971,48882,2085613
14-01-2015,2098.5,2133,2092.6,2128.65,5235637593,53263,2480315
13-01-2015,2107.8,2107.8,2075,2088.9,4597373807,66676,2200309
12-01-2015,2092,2119.2,2075,2115.95,6696515951,107209,3189722
